age,d11B,d11Bse,d18O,MgCa,species
54107,NA,NA,-1.57,3.9,Tsac
54107,NA,NA,NA,3.91,Tsac
54098,NA,NA,-1.36,3.76,Tsac
54089,NA,NA,-1.41,3.69,Tsac
54089,NA,NA,NA,3.88,Tsac
54080,15.77,0.145,-1.65,3.6,Tsac
54080,NA,NA,NA,3.9,Tsac
54067,NA,NA,-1.7,4.08,Tsac
54062,NA,NA,-1.62,4.09,Tsac
54060,16.04,0.19,NA,3.55,Tsac
54054,15.77,0.15,NA,3.55,Tsac
54053,15.59,0.12,NA,3.91,Tsac
54052,15.09,0.15,NA,3.6,Tsac
54051,15.36,0.17,NA,4.25,Tsac
54050,15.61,0.105,NA,4.15,Tsac
54048,15.33,0.095,NA,3.97,Tsac
54045,NA,NA,-1.61,4.49,Tsac
54044,14.89,0.095,NA,4.32,Tsac
54042,NA,NA,NA,4.34,Tsac
54038,14.45,0.145,-1.51,3.69,Tsac
54038,NA,NA,NA,4.37,Tsac
54038,NA,NA,NA,4.38,Tsac
54035,NA,NA,-1.49,4.5,Tsac
54032,NA,NA,-1.59,NA,Tsac
54029,NA,NA,-1.42,4.12,Tsac
54024,NA,NA,-1.59,4.18,Tsac
54021,NA,NA,-1.38,4.08,Tsac
54018,NA,NA,NA,4.13,Tsac
54010,NA,NA,-1.59,4.01,Tsac
54008,15,0.18,NA,3.68,Tsac
54007,NA,NA,-1.45,3.85,Tsac
54004,NA,NA,-1.69,3.9,Tsac
54000,NA,NA,-1.6,3.93,Tsac
53998,NA,NA,-1.58,3.98,Tsac
53998,NA,NA,NA,4.09,Tsac
53991,NA,NA,-1.29,4.3,Tsac
53972,NA,NA,-1.8,4.55,Tsac
53969,15.81,0.145,NA,4.07,Tsac
53965,NA,NA,-1.55,4.34,Tsac
53963,15.2,0.155,NA,4.35,Tsac
53946,NA,NA,-1.61,4.07,Tsac
53936,NA,NA,-1.43,4.06,Tsac
53926,NA,NA,-1.42,3.91,Tsac
53914,NA,NA,-1.29,3.97,Tsac
53903,NA,NA,-1.39,3.89,Tsac
53901,NA,NA,-1.57,3.8,Tsac
53891,NA,NA,-1.65,3.68,Tsac
53871,NA,NA,-1.58,3.59,Tsac
53862,NA,NA,-1.47,NA,Tsac
53837,NA,NA,-1.53,NA,Tsac
53832,NA,NA,-1.65,3.75,Tsac
53819,NA,NA,-1.59,3.81,Tsac
53680,NA,NA,NA,4.15,Tsac
53673,NA,NA,-1.58,4.43,Tsac
53667,NA,NA,NA,4.16,Tsac
53652,NA,NA,-1.51,4.22,Tsac
